Arena,Location,Team,Capacity,Opened,Season of first NBA game
American Airlines Center,"Dallas, Texas",Dallas Mavericks,19200,2001,2001–02
Ball Arena,"Denver, Colorado",Denver Nuggets,19520,1999,1999–2000
Barclays Center,"Brooklyn, New York",Brooklyn Nets,17732,2012,2012–13
Capital One Arena,"Washington, D.C.",Washington Wizards,20333,1997,1997–98
Chase Center,"San Francisco, California",Golden State Warriors,18064,2019,2019–20
Crypto.com Arena,"Los Angeles, California",Los Angeles Lakers,18997,1999,1999–2000
Delta Center,"Salt Lake City, Utah",Utah Jazz,18306,1991,1991–92
FedExForum,"Memphis, Tennessee",Memphis Grizzlies,17794,2004,2004–05
Fiserv Forum,"Milwaukee, Wisconsin",Milwaukee Bucks,17341,2018,2018–19
Frost Bank Center,"San Antonio, Texas",San Antonio Spurs,18354,2002,2002–03
Gainbridge Fieldhouse,"Indianapolis, Indiana",Indiana Pacers,17923,1999,1999–2000
Golden 1 Center,"Sacramento, California",Sacramento Kings,17611,2016,2016–17
Intuit Dome,"Inglewood, California",Los Angeles Clippers,18000,2024,2024–25
Kaseya Center,"Miami, Florida",Miami Heat,19600,1999,1999–2000
Kia Center,"Orlando, Florida",Orlando Magic,18846,2010,2010–11
Little Caesars Arena,"Detroit, Michigan",Detroit Pistons,20332,2017,2017–18
Madison Square Garden,"New York, New York",New York Knicks,19812,1968[a],1967–68
Moda Center,"Portland, Oregon",Portland Trail Blazers,19411,1995,1995–96
Mortgage Matchup Center,"Phoenix, Arizona",Phoenix Suns,17071,1992,1992–93
Paycom Center,"Oklahoma City, Oklahoma",Oklahoma City Thunder,18203,2002,2005–06[b]
Rocket Arena,"Cleveland, Ohio",Cleveland Cavaliers,19432,1994,1994–95
Scotiabank Arena,"Toronto, Ontario",Toronto Raptors,19800,1999,1998–99
Smoothie King Center,"New Orleans, Louisiana",New Orleans Pelicans,16867,1999,2002–03
Spectrum Center,"Charlotte, North Carolina",Charlotte Hornets,19077,2005,2005–06
State Farm Arena,"Atlanta, Georgia",Atlanta Hawks,17044,1999,1999–2000
Target Center,"Minneapolis, Minnesota",Minnesota Timberwolves,18024,1990,1990–91
TD Garden,"Boston, Massachusetts",Boston Celtics,18624,1995,1995–96
Toyota Center,"Houston, Texas",Houston Rockets,18055,2003,2003–04
United Center,"Chicago, Illinois",Chicago Bulls,20917,1994,1994–95
Xfinity Mobile Arena,"Philadelphia, Pennsylvania",Philadelphia 76ers,20007,1996,1996–97
